run_id,epoch,mem_lambda,write_threshold,avg_write_ratio,train_loss,val_loss_mem,val_acc_mem,val_loss_nomem,val_acc_nomem
ml0.05_wt0.3_s1_cc6b369d,1,0.05,0.3,0.059590625,2.3590892749786376,2.3009123554229736,0.141,2.3009123554229736,0.141
ml0.05_wt0.3_s1_cc6b369d,2,0.05,0.3,0.0,2.2961015090942385,2.272098741531372,0.161,2.272098741531372,0.161
ml0.05_wt0.3_s1_cc6b369d,3,0.05,0.3,0.0,2.2779142635345457,2.2937849712371827,0.152,2.2937849712371827,0.152
ml0.05_wt0.3_s1_cc6b369d,4,0.05,0.3,0.0,2.24403207321167,2.24154683303833,0.163,2.24154683303833,0.163
ml0.05_wt0.3_s1_cc6b369d,5,0.05,0.3,0.0,2.2256970836639405,2.3174111652374267,0.135,2.3174111652374267,0.135
ml0.05_wt0.3_s1_cc6b369d,6,0.05,0.3,0.0,2.2104897487640383,2.2167828006744386,0.181,2.2167828006744386,0.181
ml0.05_wt0.3_s1_cc6b369d,7,0.05,0.3,0.0,2.183614716720581,2.2483998012542723,0.17,2.2483998012542723,0.17
ml0.05_wt0.3_s1_cc6b369d,8,0.05,0.3,0.0,2.160795803451538,2.2637923011779786,0.164,2.2637923011779786,0.164
ml0.05_wt0.3_s1_cc6b369d,9,0.05,0.3,0.0,2.1280063678741454,2.2852535152435305,0.16,2.2852535152435305,0.16
ml0.05_wt0.3_s1_cc6b369d,10,0.05,0.3,0.0,2.1078289840698243,2.324117109298706,0.173,2.324117109298706,0.173
ml0.05_wt0.3_s1_cc6b369d,11,0.05,0.3,0.0,2.088344144821167,2.316375654220581,0.163,2.316375654220581,0.163
ml0.05_wt0.3_s1_cc6b369d,12,0.05,0.3,0.0,2.04825270652771,2.3786887168884276,0.157,2.3786887168884276,0.157
ml0.05_wt0.3_s1_cc6b369d,13,0.05,0.3,0.0,2.0308457002639773,2.323320749282837,0.155,2.323320749282837,0.155
ml0.05_wt0.3_s1_cc6b369d,14,0.05,0.3,0.0,1.9861658157348632,2.353151210784912,0.158,2.353151210784912,0.158
ml0.05_wt0.3_s1_cc6b369d,15,0.05,0.3,0.0,1.9558511432647705,2.391864921569824,0.174,2.391864921569824,0.174
ml0.05_wt0.3_s1_cc6b369d,16,0.05,0.3,0.0,1.9277351150512696,2.4163869743347166,0.161,2.4163869743347166,0.161
ml0.05_wt0.3_s1_cc6b369d,17,0.05,0.3,0.0,1.9099418197631837,2.430452568054199,0.164,2.430452568054199,0.164
ml0.05_wt0.3_s1_cc6b369d,18,0.05,0.3,0.0,1.8725025188446045,2.504315797805786,0.15,2.504315797805786,0.15
ml0.05_wt0.3_s1_cc6b369d,19,0.05,0.3,0.0,1.8420194133758545,2.520047874450684,0.161,2.520047874450684,0.161
ml0.05_wt0.3_s1_cc6b369d,20,0.05,0.3,0.0,1.7914139019012452,2.489075624465942,0.153,2.489075624465942,0.153
