run_id,epoch,mem_lambda,write_threshold,avg_write_ratio,train_loss,val_loss_mem,val_acc_mem,val_loss_nomem,val_acc_nomem
ml0.05_wt0.7_s2_51561fad,1,0.05,0.7,0.0,2.3255452278137208,2.300761837005615,0.157,2.300761837005615,0.157
ml0.05_wt0.7_s2_51561fad,2,0.05,0.7,0.0,2.2793278255462646,2.3126425323486326,0.144,2.3126425323486326,0.144
ml0.05_wt0.7_s2_51561fad,3,0.05,0.7,0.0,2.2611767353057863,2.2620641860961914,0.151,2.2620641860961914,0.151
ml0.05_wt0.7_s2_51561fad,4,0.05,0.7,0.0,2.2270286468505858,2.256778741836548,0.153,2.256778741836548,0.153
ml0.05_wt0.7_s2_51561fad,5,0.05,0.7,0.0,2.2054436874389647,2.2385236663818358,0.18,2.2385236663818358,0.18
ml0.05_wt0.7_s2_51561fad,6,0.05,0.7,0.0,2.190282705307007,2.2512206745147707,0.178,2.2512206745147707,0.178
ml0.05_wt0.7_s2_51561fad,7,0.05,0.7,0.0,2.1675189739227294,2.2548376197814943,0.159,2.2548376197814943,0.159
ml0.05_wt0.7_s2_51561fad,8,0.05,0.7,0.0,2.138593501281738,2.3344199714660645,0.142,2.3344199714660645,0.142
ml0.05_wt0.7_s2_51561fad,9,0.05,0.7,0.0,2.1206615787506102,2.272644775390625,0.157,2.272644775390625,0.157
ml0.05_wt0.7_s2_51561fad,10,0.05,0.7,0.0,2.099154396247864,2.3313592777252197,0.147,2.3313592777252197,0.147
ml0.05_wt0.7_s2_51561fad,11,0.05,0.7,0.0,2.0671585731506346,2.3163904666900637,0.158,2.3163904666900637,0.158
ml0.05_wt0.7_s2_51561fad,12,0.05,0.7,0.0,2.043041772842407,2.360692232131958,0.164,2.360692232131958,0.164
ml0.05_wt0.7_s2_51561fad,13,0.05,0.7,0.0,2.035524077606201,2.3170111846923827,0.15,2.3170111846923827,0.15
ml0.05_wt0.7_s2_51561fad,14,0.05,0.7,0.0,2.003960570526123,2.3897633991241456,0.164,2.3897633991241456,0.164
ml0.05_wt0.7_s2_51561fad,15,0.05,0.7,0.0,1.9845642198562623,2.414140613555908,0.161,2.414140613555908,0.161
ml0.05_wt0.7_s2_51561fad,16,0.05,0.7,0.0,1.9370367710113525,2.4104773750305175,0.156,2.4104773750305175,0.156
ml0.05_wt0.7_s2_51561fad,17,0.05,0.7,0.0,1.918118677520752,2.3954652919769286,0.154,2.3954652919769286,0.154
ml0.05_wt0.7_s2_51561fad,18,0.05,0.7,0.0,1.8664872478485108,2.487176223754883,0.157,2.487176223754883,0.157
ml0.05_wt0.7_s2_51561fad,19,0.05,0.7,0.0,1.8583899026870727,2.5049878940582277,0.163,2.5049878940582277,0.163
ml0.05_wt0.7_s2_51561fad,20,0.05,0.7,0.0,1.8039374118804932,2.5734342460632322,0.157,2.5734342460632322,0.157
