run_id,epoch,mem_lambda,write_threshold,avg_write_ratio,train_loss,val_loss_mem,val_acc_mem,val_loss_nomem,val_acc_nomem
ml0.1_wt0.3_s0_406f0935,1,0.1,0.3,0.05878125,2.365506986999512,2.304271924972534,0.117,2.304271924972534,0.117
ml0.1_wt0.3_s0_406f0935,2,0.1,0.3,0.0,2.2976682125091554,2.299659969329834,0.145,2.299659969329834,0.145
ml0.1_wt0.3_s0_406f0935,3,0.1,0.3,0.0,2.2831519268035887,2.2966589851379395,0.134,2.2966589851379395,0.134
ml0.1_wt0.3_s0_406f0935,4,0.1,0.3,0.0,2.253724250793457,2.3058828983306885,0.157,2.3058828983306885,0.157
ml0.1_wt0.3_s0_406f0935,5,0.1,0.3,0.0,2.2168093059539795,2.2950437030792235,0.159,2.2950437030792235,0.159
ml0.1_wt0.3_s0_406f0935,6,0.1,0.3,0.0,2.201960378265381,2.284966802597046,0.152,2.284966802597046,0.152
ml0.1_wt0.3_s0_406f0935,7,0.1,0.3,0.0,2.1805774784088134,2.3196120529174804,0.14,2.3196120529174804,0.14
ml0.1_wt0.3_s0_406f0935,8,0.1,0.3,0.0,2.153677691268921,2.3158853874206544,0.155,2.3158853874206544,0.155
ml0.1_wt0.3_s0_406f0935,9,0.1,0.3,0.0,2.1193974319458007,2.300513250350952,0.17,2.300513250350952,0.17
ml0.1_wt0.3_s0_406f0935,10,0.1,0.3,0.0,2.0900599262237547,2.35155016708374,0.17,2.35155016708374,0.17
ml0.1_wt0.3_s0_406f0935,11,0.1,0.3,0.0,2.0562621299743653,2.3232531089782715,0.151,2.3232531089782715,0.151
ml0.1_wt0.3_s0_406f0935,12,0.1,0.3,0.0,2.0333123584747312,2.3881291065216064,0.154,2.3881291065216064,0.154
ml0.1_wt0.3_s0_406f0935,13,0.1,0.3,0.0,2.0097258869171144,2.3891692867279053,0.163,2.3891692867279053,0.163
ml0.1_wt0.3_s0_406f0935,14,0.1,0.3,0.0,1.9764019908905028,2.4106891632080076,0.146,2.4106891632080076,0.146
ml0.1_wt0.3_s0_406f0935,15,0.1,0.3,0.0,1.9346340702056886,2.4630749855041505,0.153,2.4630749855041505,0.153
ml0.1_wt0.3_s0_406f0935,16,0.1,0.3,0.0,1.8904601795196534,2.4391419162750245,0.163,2.4391419162750245,0.163
ml0.1_wt0.3_s0_406f0935,17,0.1,0.3,0.0,1.8719427518844605,2.500894859313965,0.152,2.500894859313965,0.152
ml0.1_wt0.3_s0_406f0935,18,0.1,0.3,0.0,1.8487422988891602,2.520945255279541,0.17,2.520945255279541,0.17
ml0.1_wt0.3_s0_406f0935,19,0.1,0.3,0.0,1.7984859170913696,2.5411039581298827,0.164,2.5411039581298827,0.164
ml0.1_wt0.3_s0_406f0935,20,0.1,0.3,0.0,1.7614129066467286,2.5632269554138185,0.152,2.5632269554138185,0.152
