run_id,epoch,mem_lambda,write_threshold,avg_write_ratio,train_loss,val_loss_mem,val_acc_mem,val_loss_nomem,val_acc_nomem
ml0.1_wt0.3_s1_156d490a,1,0.1,0.3,0.06525625,2.3501588527679442,2.31366339302063,0.131,2.31366339302063,0.131
ml0.1_wt0.3_s1_156d490a,2,0.1,0.3,0.0,2.2916339431762696,2.2952573223114014,0.119,2.2952573223114014,0.119
ml0.1_wt0.3_s1_156d490a,3,0.1,0.3,0.0,2.262510748672485,2.2852033672332763,0.153,2.2852033672332763,0.153
ml0.1_wt0.3_s1_156d490a,4,0.1,0.3,0.0,2.2340280883789063,2.27590260887146,0.145,2.27590260887146,0.145
ml0.1_wt0.3_s1_156d490a,5,0.1,0.3,0.0,2.2098697956085207,2.2614898338317873,0.151,2.2614898338317873,0.151
ml0.1_wt0.3_s1_156d490a,6,0.1,0.3,0.0,2.188776205444336,2.2728367824554443,0.153,2.2728367824554443,0.153
ml0.1_wt0.3_s1_156d490a,7,0.1,0.3,0.0,2.1715095092773438,2.280881649017334,0.17,2.280881649017334,0.17
ml0.1_wt0.3_s1_156d490a,8,0.1,0.3,0.0,2.1392441009521486,2.30420951461792,0.166,2.30420951461792,0.166
ml0.1_wt0.3_s1_156d490a,9,0.1,0.3,0.0,2.126975881767273,2.29337237739563,0.169,2.29337237739563,0.169
ml0.1_wt0.3_s1_156d490a,10,0.1,0.3,0.0,2.0876312686920167,2.3080556869506834,0.176,2.3080556869506834,0.176
ml0.1_wt0.3_s1_156d490a,11,0.1,0.3,0.0,2.0717962282180786,2.298350315093994,0.169,2.298350315093994,0.169
ml0.1_wt0.3_s1_156d490a,12,0.1,0.3,0.0,2.03448759765625,2.3329283599853516,0.165,2.3329283599853516,0.165
ml0.1_wt0.3_s1_156d490a,13,0.1,0.3,0.0,2.0307045095443725,2.369403667449951,0.15,2.369403667449951,0.15
ml0.1_wt0.3_s1_156d490a,14,0.1,0.3,0.0,1.973917967605591,2.4130053482055662,0.141,2.4130053482055662,0.141
ml0.1_wt0.3_s1_156d490a,15,0.1,0.3,0.0,1.9718705513000487,2.451046220779419,0.162,2.451046220779419,0.162
ml0.1_wt0.3_s1_156d490a,16,0.1,0.3,0.0,1.93386625289917,2.4503436431884764,0.162,2.4503436431884764,0.162
ml0.1_wt0.3_s1_156d490a,17,0.1,0.3,0.0,1.9078126567840576,2.4593248710632323,0.146,2.4593248710632323,0.146
ml0.1_wt0.3_s1_156d490a,18,0.1,0.3,0.0,1.8811393409729005,2.4881424922943114,0.165,2.4881424922943114,0.165
ml0.1_wt0.3_s1_156d490a,19,0.1,0.3,0.0,1.8241837219238282,2.482938856124878,0.161,2.482938856124878,0.161
ml0.1_wt0.3_s1_156d490a,20,0.1,0.3,0.0,1.8113481359481811,2.515864688873291,0.154,2.515864688873291,0.154
