run_id,epoch,mem_lambda,write_threshold,avg_write_ratio,train_loss,val_loss_mem,val_acc_mem,val_loss_nomem,val_acc_nomem
ml0.2_wt0.7_s0_2b3142fb,1,0.2,0.7,0.0,2.3459538524627686,2.2924373893737795,0.137,2.2924373893737795,0.137
ml0.2_wt0.7_s0_2b3142fb,2,0.2,0.7,0.0,2.2933576236724855,2.262689027786255,0.157,2.262689027786255,0.157
ml0.2_wt0.7_s0_2b3142fb,3,0.2,0.7,0.0,2.2645362941741944,2.2772738609313965,0.154,2.2772738609313965,0.154
ml0.2_wt0.7_s0_2b3142fb,4,0.2,0.7,0.0,2.237899710845947,2.3275820789337156,0.161,2.3275820789337156,0.161
ml0.2_wt0.7_s0_2b3142fb,5,0.2,0.7,0.0,2.2169577167510988,2.2655227470397947,0.165,2.2655227470397947,0.165
ml0.2_wt0.7_s0_2b3142fb,6,0.2,0.7,0.0,2.1912350521087647,2.2417528762817382,0.179,2.2417528762817382,0.179
ml0.2_wt0.7_s0_2b3142fb,7,0.2,0.7,0.0,2.1711676261901856,2.2344580154418945,0.176,2.2344580154418945,0.176
ml0.2_wt0.7_s0_2b3142fb,8,0.2,0.7,0.0,2.145864708328247,2.263338565826416,0.163,2.263338565826416,0.163
ml0.2_wt0.7_s0_2b3142fb,9,0.2,0.7,0.0,2.1222824241638185,2.246400478363037,0.181,2.246400478363037,0.181
ml0.2_wt0.7_s0_2b3142fb,10,0.2,0.7,0.0,2.0998680629730226,2.2703220348358153,0.154,2.2703220348358153,0.154
ml0.2_wt0.7_s0_2b3142fb,11,0.2,0.7,0.0,2.071994603729248,2.342463245391846,0.164,2.342463245391846,0.164
ml0.2_wt0.7_s0_2b3142fb,12,0.2,0.7,0.0,2.049972010421753,2.339315929412842,0.158,2.339315929412842,0.158
ml0.2_wt0.7_s0_2b3142fb,13,0.2,0.7,0.0,2.0339613803863523,2.323873050689697,0.164,2.323873050689697,0.164
ml0.2_wt0.7_s0_2b3142fb,14,0.2,0.7,0.0,2.007967046737671,2.372142095565796,0.159,2.372142095565796,0.159
ml0.2_wt0.7_s0_2b3142fb,15,0.2,0.7,0.0,1.9775324577331543,2.426377138137817,0.165,2.426377138137817,0.165
ml0.2_wt0.7_s0_2b3142fb,16,0.2,0.7,0.0,1.9454868888854981,2.401280834197998,0.16,2.401280834197998,0.16
ml0.2_wt0.7_s0_2b3142fb,17,0.2,0.7,0.0,1.9232355337142943,2.4932175178527833,0.151,2.4932175178527833,0.151
ml0.2_wt0.7_s0_2b3142fb,18,0.2,0.7,0.0,1.8935568881988525,2.425457040786743,0.171,2.425457040786743,0.171
ml0.2_wt0.7_s0_2b3142fb,19,0.2,0.7,0.0,1.8650751377105712,2.471874538421631,0.163,2.471874538421631,0.163
ml0.2_wt0.7_s0_2b3142fb,20,0.2,0.7,0.0,1.8415103313446044,2.4474568729400636,0.169,2.4474568729400636,0.169
