run_id,epoch,mem_lambda,write_threshold,avg_write_ratio,train_loss,val_loss_mem,val_acc_mem,val_loss_nomem,val_acc_nomem
ml0.2_wt0.7_s1_e3dc12fc,1,0.2,0.7,0.0,2.3483624576568602,2.2844381675720213,0.113,2.2844381675720213,0.113
ml0.2_wt0.7_s1_e3dc12fc,2,0.2,0.7,0.0,2.2909942779541015,2.2870242576599122,0.146,2.2870242576599122,0.146
ml0.2_wt0.7_s1_e3dc12fc,3,0.2,0.7,0.0,2.271018078994751,2.267927318572998,0.142,2.267927318572998,0.142
ml0.2_wt0.7_s1_e3dc12fc,4,0.2,0.7,0.0,2.25149810218811,2.254101167678833,0.159,2.254101167678833,0.159
ml0.2_wt0.7_s1_e3dc12fc,5,0.2,0.7,0.0,2.2206052326202395,2.252659248352051,0.172,2.252659248352051,0.172
ml0.2_wt0.7_s1_e3dc12fc,6,0.2,0.7,0.0,2.1856524921417235,2.2466276817321775,0.165,2.2466276817321775,0.165
ml0.2_wt0.7_s1_e3dc12fc,7,0.2,0.7,0.0,2.1658592481613157,2.3500111408233644,0.143,2.3500111408233644,0.143
ml0.2_wt0.7_s1_e3dc12fc,8,0.2,0.7,0.0,2.1570946155548096,2.243165533065796,0.178,2.243165533065796,0.178
ml0.2_wt0.7_s1_e3dc12fc,9,0.2,0.7,0.0,2.127308808898926,2.2675831298828126,0.158,2.2675831298828126,0.158
ml0.2_wt0.7_s1_e3dc12fc,10,0.2,0.7,0.0,2.104806714248657,2.272328556060791,0.183,2.272328556060791,0.183
ml0.2_wt0.7_s1_e3dc12fc,11,0.2,0.7,0.0,2.079015182876587,2.347924146652222,0.159,2.347924146652222,0.159
ml0.2_wt0.7_s1_e3dc12fc,12,0.2,0.7,0.0,2.048380701828003,2.349892238616943,0.169,2.349892238616943,0.169
ml0.2_wt0.7_s1_e3dc12fc,13,0.2,0.7,0.0,2.026380306625366,2.3655546684265136,0.153,2.3655546684265136,0.153
ml0.2_wt0.7_s1_e3dc12fc,14,0.2,0.7,0.0,2.002085132598877,2.353295986175537,0.165,2.353295986175537,0.165
ml0.2_wt0.7_s1_e3dc12fc,15,0.2,0.7,0.0,1.9437690034866333,2.418115659713745,0.17,2.418115659713745,0.17
ml0.2_wt0.7_s1_e3dc12fc,16,0.2,0.7,0.0,1.9320987564086913,2.4539801845550535,0.136,2.4539801845550535,0.136
ml0.2_wt0.7_s1_e3dc12fc,17,0.2,0.7,0.0,1.8898985942840576,2.466243288040161,0.145,2.466243288040161,0.145
ml0.2_wt0.7_s1_e3dc12fc,18,0.2,0.7,0.0,1.869206111907959,2.5100180854797363,0.16,2.5100180854797363,0.16
ml0.2_wt0.7_s1_e3dc12fc,19,0.2,0.7,0.0,1.830771776008606,2.613478412628174,0.15,2.613478412628174,0.15
ml0.2_wt0.7_s1_e3dc12fc,20,0.2,0.7,0.0,1.7891752330780029,2.568152509689331,0.154,2.568152509689331,0.154
